title,source,published_at,url,sentiment_score,positive_percent,neutral_percent,negative_percent
Why the stock market is going berserk today,Business Insider,2024-08-02T16:14:32Z,https://markets.businessinsider.com/news/stocks/stock-market-selloff-today-jobs-report-recession-unemployment-tech-earnings-2024-8,-0.6124,0,39,61
3 stocks retail investors turned to when stocks fell this week,Yahoo Entertainment,2024-08-09T15:54:19Z,https://finance.yahoo.com/video/3-stocks-retail-investors-turned-155419132.html,0.6739,67,33,0
Are You a Growth Investor This 1 Stock Could Be the Perfect Pick,Yahoo Entertainment,2024-07-15T13:45:12Z,https://finance.yahoo.com/news/growth-investor-1-stock-could-134512953.html,0.8299,82,18,0
Stock market today Indexes rise as traders assess earnings and retail sales beat estimates,Business Insider,2024-07-16T13:41:45Z,https://markets.businessinsider.com/news/stocks/stock-market-today-indexes-retail-data-earnings-estimates-consumer-spending-2024-7,-0.3182,0,69,31
Global stock markets are sliding and investors are holding on to their hats Heres why,Business Insider,2024-08-05T09:56:55Z,https://markets.businessinsider.com/news/stocks/stock-market-rout-nervous-investors-dangreous-august-recession-fears-2024-8,-0.3818,0,62,38
A reliable stock market indicator is flashing its first warning sign since 1999,Business Insider,2024-07-16T16:58:25Z,https://markets.businessinsider.com/news/stocks/stock-market-outlook-bond-warning-signal-flashes-1999-first-time-2024-7,-0.4767,0,53,47
Market volatility raises questions about the staying power of the US economy,NPR,2024-08-06T08:36:14Z,https://www.npr.org/2024/08/06/nx-s1-5064334/market-volatility-raises-questions-about-the-staying-power-of-the-u-s-economy,0.0000,0,100,0
Stock market today Dow closes at a record as market bets on Trump after assassination attempt,Business Insider,2024-07-15T20:09:18Z,https://markets.businessinsider.com/news/stocks/stock-market-today-dow-hits-record-high-failed-trump-assassination-2024-7,-0.2732,0,73,27
This Top Medical Stock is a 1 Strong Buy Why It Should Be on Your Radar,Yahoo Entertainment,2024-07-26T13:40:03Z,https://finance.yahoo.com/news/top-medical-stock-1-strong-134003477.html,0.9300,93,7,0
CNN reporter explains what is causing stocks to plunge,Yahoo Entertainment,2024-08-05T14:24:29Z,https://www.yahoo.com/news/cnn-reporter-explains-causing-stocks-142429386.html,-0.7184,0,29,71
The Markets RateCut Obsession Is Over Now the Economy Is Its Main Focus,Barron's,2024-08-08T16:31:00Z,https://www.barrons.com/livecoverage/stock-market-today-080824,-0.3400,0,66,34
Charles Schwab is dead money Portfolio manager on stock,Yahoo Entertainment,2024-07-25T21:00:30Z,https://finance.yahoo.com/video/charles-schwab-dead-money-portfolio-210030962.html,-0.4588,0,55,45
Stocks fell after weak jobs report Are we heading for a recession,NPR,2024-08-03T12:28:27Z,https://www.npr.org/2024/08/03/nx-s1-5061537/stocks-fell-after-weak-jobs-report-are-we-heading-for-a-recession,-0.8176,0,19,81
Stock market has worst day since 2022 as tech giants drop AP Explains,Yahoo Entertainment,2024-07-24T23:53:52Z,https://www.yahoo.com/news/stock-market-worst-day-since-235352291.html,-0.9186,0,9,91
Stock futures tumble as recession fears fuel calls for interest rate cut,ABC News,2024-08-05T12:47:49Z,https://abcnews.go.com/Business/stock-futures-tumble-recession-fears-fuel-calls-interest/story?id=112573894,-0.5719,0,43,57
Cathie Wood says she wouldnt have sold Nvidia stake had we known that the market was going to reward it,Business Insider,2024-07-15T07:32:21Z,https://www.businessinsider.com/cathie-wood-would-have-held-nvidia-if-knew-going-up-2024-7,0.6808,68,32,0
Best CD Rates Today  Protect Your Earnings From Market Volatility Aug 8 2024,CNET,2024-08-08T09:30:00Z,https://www.cnet.com/personal-finance/banking/cds/cd-rates-today-august-8-2024/,0.2846,28,72,0
Jobless claims Nvidia Warner Bros Discovery 3 Things,Yahoo Entertainment,2024-08-08T13:15:16Z,https://finance.yahoo.com/video/jobless-claims-nvidia-warner-bros-131516764.html,0.0000,0,100,0
Bitcoin and wider crypto market tumbles as global stocks falter,ReadWrite,2024-07-25T16:24:02Z,https://readwrite.com/cryptocurrency-bitcoin-market-tumbles-as-global-stocks-falter/,0.0000,0,100,0
Stock market today Dow jumps 285 points as traders try to extend comeback from big selloff,Business Insider,2024-08-07T13:45:50Z,https://markets.businessinsider.com/news/stocks/stock-market-today-rally-interest-rates-fed-boj-carry-trade-2024-8,0.1779,17,83,0
Trump Stock Jumps Following Assassination Attempt,Gizmodo.com,2024-07-15T14:25:42Z,https://gizmodo.com/trump-stock-jumps-following-assassination-attempt-2000473384,-0.2023,0,80,20
The Economy Isnt Falling Off a Cliff These 4 Expert Steps Can Help You Prepare if Youre Worried,CNET,2024-08-09T18:30:00Z,https://www.cnet.com/personal-finance/investing/advice/dont-panic-the-economy-isnt-falling-off-a-cliff/,-0.5106,0,49,51
Apple stock getting hammered after international market crashes,AppleInsider,2024-08-05T15:04:23Z,https://appleinsider.com/articles/24/08/05/apple-stock-getting-hammered-after-international-market-crashes,-0.5859,0,42,58
Apple Leads Tech Sectors Massive 900 Billion Market Loss,MacRumors,2024-08-05T16:09:07Z,https://www.macrumors.com/2024/08/05/apple-leads-tech-sector-market-loss/,0.0258,2,98,0
How hedge funds are dealing with the global market meltdown,Business Insider,2024-08-05T17:30:36Z,https://www.businessinsider.com/hedge-funds-markets-volatility-sell-off-yen-2024-8,0.0516,5,95,0
Things Are So Bad at Intel That the Boss Is Posting Bible Verses,Gizmodo.com,2024-08-05T16:45:27Z,https://gizmodo.com/things-are-so-bad-at-intel-that-the-boss-is-posting-bible-verses-2000483248,-0.9040,0,10,90
Japan stocks rebound a day after major market rout,BBC News,2024-08-06T00:29:01Z,https://www.bbc.com/news/articles/c1d77xe2p26o,-0.0609,0,94,6
Nvidia stock Now is the time to scoop it up analyst says,Yahoo Entertainment,2024-08-08T14:52:46Z,https://finance.yahoo.com/video/nvidia-stock-now-time-scoop-145246609.html,-0.2263,0,78,22
Nvidia CEO Jensen Huang sold a record 323 million of stock in July before the market tanked,Business Insider,2024-08-05T20:09:01Z,https://markets.businessinsider.com/news/stocks/nvidia-jensen-huang-stock-sale-tech-selloff-fed-rate-cuts-2024-8,0.4767,47,53,0
How much Silicon Valleys richest CEOs and founders lost in the stock market wipeout,Business Insider,2024-08-06T03:16:01Z,https://www.businessinsider.com/how-much-billionaire-tech-ceos-founders-lost-stock-market-wipeout-2024-8,0.6705,67,33,0
Schwab Fidelity Traders Report Outages During Stock Meltdown,Slashdot.org,2024-08-05T14:42:00Z,https://tech.slashdot.org/story/24/08/05/1442259/schwab-fidelity-traders-report-outages-during-stock-meltdown,0.0000,0,100,0
Hindenburg alleges India market regulator chief held stake in offshore funds used by Adani Group,Yahoo Entertainment,2024-08-10T17:03:26Z,https://sg.finance.yahoo.com/news/hindenburg-research-alleges-india-market-170326805.html,0.0000,0,100,0
Charles Schwab Fidelity and Vanguard Among Investment Sites That Crashed This Morning,CNET,2024-08-05T15:45:00Z,https://www.cnet.com/personal-finance/investing/advice/charles-schwab-fidelity-and-vanguard-among-investment-sites-that-crashed-this-morning/,0.0000,0,100,0
Novavax stock plunges after JPMorgan downgrade,Yahoo Entertainment,2024-07-30T20:55:01Z,https://finance.yahoo.com/video/novavax-stock-plunges-jpmorgan-downgrade-205501333.html,0.4215,42,58,0
Trumps Truth Social stock soars after assassination attempt,ABC News,2024-07-15T16:08:43Z,https://abcnews.go.com/Business/trumps-truth-social-stock-soars-after-assassination-attempt/story?id=111947419,0.2263,22,78,0
Cathie Wood is buying the dip with CrowdStrike,Business Insider,2024-07-23T05:31:29Z,https://www.businessinsider.com/cathie-wood-is-buying-the-dip-with-crowdstrike-2024-7,0.0000,0,100,0
JB Hunt stock falls on Q2 earnings miss,Yahoo Entertainment,2024-07-17T20:39:47Z,https://finance.yahoo.com/video/j-b-hunt-stock-falls-203947358.html,-0.2023,0,80,20
